Nx1000,   AVX,     GPU
  4096, 1.497,   3.015
  4608, 1.612,   4.949
  5120, 1.773,   3.719
  5632, 1.989,   4.033
  6144, 2.238,   4.393
  6656, 2.407,   4.743
  7168, 2.636,   6.606
  7680, 2.768,   5.552
  8192, 3.132,   5.870
  8704, 3.156,   6.217
  9216, 3.419,   6.566
  9728, 3.555,   6.889
 10240, 3.751,   7.277
 10752, 4.095,   7.689
 11264, 4.178,   8.015
 11776, 4.258,   8.386
 12288, 4.548,   8.864
 12800, 4.742,   9.071
 13312, 5.139,   9.514
 13824, 5.087,  11.418
 14336, 5.532,  10.315
 14848, 5.406,  10.420
 15360, 5.807,  10.932
 15872, 6.339,  11.360
