Nx1000,   AVX,     GPU
  4096, 1.668,   1.406
  4608, 1.881,   1.551
  5120, 2.388,   1.534
  5632, 2.396,   1.922
  6144, 2.954,   1.755
  6656, 2.980,   2.276
  7168, 3.378,   2.465
  7680, 3.082,   2.132
  8192, 3.146,   2.424
  8704, 3.390,   2.743
  9216, 4.584,   2.826
  9728, 3.789,   2.773
 10240, 5.024,   2.933
 10752, 4.239,   2.919
 11264, 5.271,   3.248
 11776, 4.616,   3.278
 12288, 4.690,   3.470
 12800, 5.095,   3.996
 13312, 5.130,   3.950
 13824, 5.479,   3.888
 14336, 5.646,   4.157
 14848, 6.269,   4.429
 15360, 6.276,   4.342
 15872, 6.320,   4.419
